title,originallink,link,description,pubDate
"2019 핫서머 <b>선글라스</b> 키워드 '뉴트로', 방탄소년단 '<b>틴트</b>' VS 정은지 '다...",http://www.theceluv.com/article.php?aid=1564122178269281003,http://www.theceluv.com/article.php?aid=1564122178269281003,"최근 그룹 방탄소년단(BTS) 제이홉과 지민은 <b>틴트 선글라스</b>에 빠졌다. 그들이 선택한 <b>틴트 선글라스</b>는 눈이 훤히 비치는 다양한 색상의 렌즈가 매력인 복고 스타일의 선글라스다. 제이홉은 캐주얼한 슈트에, 지민은... ","Fri, 26 Jul 2019 16:56:00 +0900"
"리에티, 뉴트로 오렌지&amp;로즈 <b>틴트 선글라스</b> 출시",http://www.slist.kr/news/articleView.html?idxno=120249,http://www.slist.kr/news/articleView.html?idxno=120249,<b>틴트 선글라스</b>로 올겨울 스타일지수를 높여보면 어떨까. 아이웨어 브랜드 리에티가 레트로 스타일에 현대적인 감각을 더한 신제품을 선보였다. 리에티의 조이 선글라스는 기존 인기에 힘입어 새로운 색상의 틴트... ,"Wed, 11 Dec 2019 14:48:00 +0900"
[포토뉴스] 눈매 보이는 ‘<b>틴트 선글라스</b>’ 인기,http://www.busan.com/view/busan/view.php?code=2021021818551035444,https://n.news.naver.com/mnews/article/082/0001068756?sid=101,롯데백화점 부산본점 내 젠틀몬스터 매장에서는 눈매가 보이는 다양한 컬러의 ‘<b>틴트 선글라스</b>’를 선보이고 있다. 올 봄에는 마스크 착용 여파로 짙은 블랙 선글라스보다는 컬러감 있는 화사한 <b>틴트 선글라스</b>가... ,"Thu, 18 Feb 2021 19:01:00 +0900"
패션에 따른 봄철 <b>선글라스</b> 선택 '<b>틴트</b>VS블랙',http://moneys.mt.co.kr/news/mwView.php?no=2019030613308034147,https://n.news.naver.com/mnews/article/417/0000386609?sid=103,◆ ‘<b>틴트 선글라스</b>’로 화사한 봄 기운 UP! 산뜻한 봄 분위기를 물씬 풍기고 싶다면 <b>틴트 선글라스</b>를 착용해보자. 옐로우 컬러가 은은한 <b>틴트 선글라스</b>는 봄을 연상시키는 렌즈의 색감이 화사한 이미지를 선사한다. 또한... ,"Thu, 07 Mar 2019 05:31:00 +0900"
봄맞이 선글라스 '<b>틴트 선글라스</b> vs 블랙 선글라스' 선택법,http://www.fashionn.com/board/read_new.php?table=1006&number=27783,http://www.fashionn.com/board/read_new.php?table=1006&number=27783,▶ ‘<b>틴트 선글라스</b>’로 화사한 봄 기운 UP 산뜻한 봄 분위기를 물씬 풍기고 싶다면 <b>틴트 선글라스</b>를 착용해보자. 옐로우 컬러가 은은한 리에티(RIETI) <b>틴트 선글라스</b>는 봄을 연상시키는 렌즈의 색감이 화사한 이미지를... ,"Wed, 06 Mar 2019 11:34:00 +0900"
"리에티, 뉴트로 무드 <b>선글라스</b> 2종 출시… 오렌지&amp;로즈 <b>틴트</b>",http://moneys.mt.co.kr/news/mwView.php?no=2019121114008094811,https://n.news.naver.com/mnews/article/417/0000481568?sid=101,아이웨어 브랜드 리에티가 새로운 색상의 <b>틴트 선글라스</b>를 추가 출시했다고 밝혔다. 이번 신제품은 오렌지와 로즈 총 2가지 색상이다. 화사한 톤의 틴트와 클래식한 블랙 탬플이 만나 뉴트로 분위기가 물씬 나면서도 세련된... ,"Wed, 11 Dec 2019 20:00:00 +0900"
올 여름 <b>선글라스</b>! #복고풍 #<b>틴트</b>,http://www.sedaily.com/NewsView/1S1YUIZP9W,https://n.news.naver.com/mnews/article/011/0003340663?sid=103,한때 유행을 이끌었던 미러 선글라스 대신 눈이 투명하게 비치는 ‘<b>틴트 선글라스</b>’가 인기를 끌고 있다. 롯데백화점에 따르면 이번 여름 시즌 선글라스 입고량 중 30% 가량이 <b>틴트 선글라스</b>로 구성됐다. 이는 전년 대비... ,"Thu, 05 Jul 2018 17:28:00 +0900"
"<b>틴트</b>·사이파이...<b>선글라스</b>, 얼굴형에 맞는 디자인으로 스타일 UP",http://www.slist.kr/news/articleView.html?idxno=37030,http://www.slist.kr/news/articleView.html?idxno=37030,"◆ 렌트색X피부톤 매치 '<b>틴트 선글라스</b>' 빨강, 파랑, 핑크, 옐로 등 취향에 맞는 화려한 렌즈 컬러로 개성을 드러낼 수 있어 젊은 층에 인기인 <b>틴트 선글라스</b>는 짙은 색 렌즈로 눈을 가리는 일반 선글라스와 달리 렌즈... ","Wed, 20 Jun 2018 22:35:00 +0900"
&quot;봄 패션 아이템으로 이것?&quot; 젠틀몬스터 <b>틴트 선글라스</b> '눈길',http://www.ggilbo.com/news/articleView.html?idxno=634811,http://www.ggilbo.com/news/articleView.html?idxno=634811,최근 봄 패션아이템으로 선글라스 장만을 위해 아이웨어 브랜드들의 신제품 출시가 이어지는 가운데 젠틀몬스터에서 출시한 <b>틴트 선글라스</b>가 눈길을 끌고 있다. 젠틀몬스터 <b>틴트 선글라스</b>는 자외선 차단은 물론... ,"Wed, 03 Apr 2019 18:06:00 +0900"
안경이야 <b>선글라스</b>야…속 보이는 ‘<b>틴트</b> 렌즈’,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1600&key=20180503.22018000040,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1600&key=20180503.22018000040,"핑크, 옐로, 블루 등 통통 튀는 컬러로 존재감을 살릴 수 있는 <b>틴트 선글라스</b>는 피부 톤이나 헤어 컬러 등 자신의 스타일을 고려해 선택하는 것이 좋다. 화사함을 선보이고 싶다면 패턴 선글라스가 제격이다. 선글라스 테에... ","Thu, 03 May 2018 00:08:00 +0900"
